
# 	Title 		Acceptance 	Difficulty 	Frequency
534	Design TinyURL	0.0%	Medium	
1	Two Sum	37.0%	Easy	
675	Cut Off Trees for Golf Event	27.0%	Hard	
20	Valid Parentheses	33.9%	Easy	
200	Number of Islands	36.1%	Medium	
146	LRU Cache	19.2%	Hard	
48	Rotate Image	40.8%	Medium	
438	Find All Anagrams in a String	34.0%	Easy	
297	Serialize and Deserialize Binary Tree	34.3%	Hard	
138	Copy List with Random Pointer	26.0%	Medium	
711	Number of Distinct Islands II 	43.0%	Hard	
236	Lowest Common Ancestor of a Binary Tree	30.0%	Medium	
5	Longest Palindromic Substring	25.2%	Medium	
121	Best Time to Buy and Sell Stock	42.5%	Easy	
763	Partition Labels	66.4%	Medium	
239	Sliding Window Maximum	34.0%	Hard	
238	Product of Array Except Self	50.1%	Medium	
17	Letter Combinations of a Phone Number	35.9%	Medium	
42	Trapping Rain Water	37.4%	Hard	


460	LFU Cache	24.9%	Hard	
23	Merge k Sorted Lists	28.0%	Hard	
387	First Unique Character in a String	47.3%	Easy	
127	Word Ladder	19.8%	Medium	
682	Baseball Game	58.6%	Easy	
2	Add Two Numbers	28.4%	Medium	
206	Reverse Linked List	46.5%	Easy	
235	Lowest Common Ancestor of a Binary Search Tree	39.6%	Easy	
234	Palindrome Linked List	33.3%	Easy	
380	Insert Delete GetRandom O(1)	39.8%	Medium	
155	Min Stack	30.4%	Easy	
240	Search a 2D Matrix II	39.1%	Medium	
449	Serialize and Deserialize BST	42.7%	Medium	
98	Validate Binary Search Tree	24.0%	Medium	
21	Merge Two Sorted Lists	40.1%	Easy	
49	Group Anagrams	37.4%	Medium	
139	Word Break	31.1%	Medium	
3	Longest Substring Without Repeating Characters	24.6%	Medium	
160	Intersection of Two Linked Lists	30.9%	Easy	
692	Top K Frequent Words	41.6%	Medium	
215	Kth Largest Element in an Array	40.3%	Medium	
126	Word Ladder II	14.7%	Hard	
517	Super Washing Machines	36.4%	Hard	
242	Valid Anagram	47.2%	Easy	
141	Linked List Cycle	35.2%	Easy	
725	Split Linked List in Parts	48.3%	Medium	
545	Boundary of Binary Tree 	32.3%	Medium	
167	Two Sum II - Input array is sorted	47.3%	Easy	
102	Binary Tree Level Order Traversal	41.7%	Medium	
186	Reverse Words in a String II 	28.7%	Medium	
529	Minesweeper	49.7%	Medium	
15	3Sum	21.8%	Medium	
78	Subsets	43.6%	Medium	
535	Encode and Decode TinyURL	73.9%	Medium	
73	Set Matrix Zeroes	36.4%	Medium	
516	Longest Palindromic Subsequence	42.8%	Medium	
199	Binary Tree Right Side View	42.1%	Medium	
8	String to Integer (atoi)	13.9%	Medium	
89	Gray Code	42.1%	Medium	
451	Sort Characters By Frequency	51.5%	Medium	
508	Most Frequent Subtree Sum	52.4%	Medium	
204	Count Primes	26.6%	Easy	
414	Third Maximum Number	28.0%	Easy	
538	Convert BST to Greater Tree	49.1%	Easy	
189	Rotate Array	25.2%	Easy	
355	Design Twitter	25.8%	Medium	
617	Merge Two Binary Trees	67.6%	Easy	
532	K-diff Pairs in an Array	28.2%	Easy	
119	Pascal's Triangle II	37.8%	Easy	
646	Maximum Length of Pair Chain	47.5%	Medium	
536	Construct Binary Tree from String 	43.0%	Medium	
661	Image Smoother	46.0%	Easy	
640	Solve the Equation	39.1%	Medium	
694	Number of Distinct Islands 	45.4%	Medium	
537	Complex Number Multiplication	63.8%	Medium	
738	Monotone Increasing Digits	41.9%	Medium	
662	Maximum Width of Binary Tree	38.1%	Medium	
396	Rotate Function	33.7%	Medium	
553	Optimal Division	55.2%	Medium	
742	Closest Leaf in a Binary Tree 	33.1%	Medium	
579	Find Cumulative Salary of an Employee 	26.5%	Hard	
663	Equal Tree Partition 	36.5%	Medium	
459	Repeated Substring Pattern	38.2%	Easy	
746	Min Cost Climbing Stairs	44.4%	Easy	
606	Construct String from Binary Tree	49.8%	Easy	
762	Prime Number of Set Bits in Binary Representation	56.7%	Easy	
645	Set Mismatch	39.9%	Easy	
